"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","unlock_level","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Mastery_Unshackled_Fury_","Mastery: Unshackled Fury","","passive bonus which scales damage with Mastery.","passive bonus which scales damage with Mastery.","Passive","","","1","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Pain_and_Gain_","Pain and Gain","","passive self-healing.","passive self-healing.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Improved_Overpower_","Improved Overpower","","insignificant damage increase.","insignificant damage increase.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Fueled_by_Violence_","Fueled by Violence","","minor amount of passive healing which ramps against multiple targets.","minor amount of passive healing which ramps against multiple targets.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Improved_Bloodthirst_","Improved Bloodthirst","","very small but worthwhile damage increase.","very small but worthwhile damage increase.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Warpaint_","Warpaint","","strong passive damage reduction.","strong passive damage reduction.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Cruelty_","Cruelty","","notable damage increase, though only while Enraged.","notable damage increase, though only while Enraged.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Best_Served_Cold_","Best Served Cold","BSC","Increases","Increases","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Impale_","Impale","","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bo...","increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bonus than 10%.","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Rend_","Rend","","Excellent DPS increase applied passively by","Excellent DPS increase applied passively by","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Brutal_Vitality_","Brutal Vitality","BrV","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especi...","This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especially since the dmg from","Passive","","","5","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Crushing_Force_","Crushing Force","","major damage increase for Slam.","major damage increase for Slam.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Rumbling_Earth_","Rumbling Earth","","greatly increases the usefulness of Shockwave when using it regularly against groups.","greatly increases the usefulness of Shockwave when using it regularly against groups.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Finishing_Blows_","Finishing Blows","","increases rage generation during the Execute phase to fuel its higher costs.","increases rage generation during the Execute phase to fuel its higher costs.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Anger_Management_","Anger Management","AM","an indispensable talent, creating more frequent increased damage windows.","an indispensable talent, creating more frequent increased damage windows.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Single","Single","","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough t...","Minded Fury- increase the effectiveness of dual wielding one-handed weapons, but not by enough to make them competitive with two-handed weapons.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Frenzy_","Frenzy","","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","semi-passive haste buff, with the downside of easily falling off when regularly switching targets.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Unnerving_Focus_","Unnerving Focus","","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Increases Rage Generation while Last Stand is active. Has rarely seen play.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Bolster","Bolster","","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche appli...","Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche application if the lower cooldown is beneficial.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR_Heavy_Repercussions","Heavy Repercussions","HR","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. Bu...","Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. But more importantly, it increases  Shield Block duration by 1 second every time you press  Shield Slam, resulting in pretty much infinite  Shield Block uptime. Mandatory pick for low haste levels early in an expansion.","Passive","","","6","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
