"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Whirlwind_","Whirlwind","WW","primary multitarget attack.","primary multitarget attack.","Offensive","","AoE,Cleave,Rage-Generation","","1","1","12","Baseline","Protection","","","","","","Action","","","Spell_Zone","Zone","DealDamage(1d8+StrengthModifier,Slashing);RestoreResource(context.Source,Rage,10,0)","","1d8+StrengthModifier,Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=1680"
"WAR__Charge_","Charge","","primary mobility and gap closer.","primary mobility and gap closer.","Utility","","Mobility,Rage-Generation","","","","","Baseline","All","","","","","","Action","","Short Rest (2 charges)","Spell_Jump","Target","TeleportSource();RestoreResource(context.Source,Rage,20,0)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=100"
"WAR__Shield_Slam_","Shield Slam","SS","Your main offensive skill. Deals damage, generates Rage, its great.","Your main offensive skill. Deals damage, generates Rage, its great.","Offensive","","Protection,Tank,Rage-Generation","","","","1","Baseline","Fury","","","","","","Action","","","Spell_Target","Target","DealDamage(2d6+StrengthModifier+ShieldAC,Bludgeoning);RestoreResource(context.Source,Rage,15,0)","","2d6+StrengthModifier+ShieldAC,Bludgeoning","","Not Started","","Wowhead: https://www.wowhead.com/spell=23922"
"WAR__Taunt_","Taunt","","Taunts enemies. Very basic.","Taunts enemies. Very basic.","Offensive","","Protection,Tank,Taunt","","","","","Baseline","All","","","","","","Action","","OncePerTurn","Spell_Target","Target","ApplyStatus(context.Target,WAR_TAUNTED,100,1)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=355"
"WAR__Mastery_Critical_Block_","Mastery: Critical Block","","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases ...","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases your Attack Power. Its okay.","Passive","","Protection,Passive,Block","","","","","Baseline","All","","","","","","None","","","Passive","N/A","Passive mitigation boost","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=76857"
"WAR__Berserker_Rage_","Berserker Rage","BzR","preemptive or reactive CC removal.","preemptive or reactive CC removal.","Offensive","","Fury,Utility,Enrage,CC-Break","","7","1","","Baseline","All","","","","","","Action","","OncePerShortRest","Spell_Shout","Shout","RemoveStatus('SG_Incapacitated');RemoveStatus('SG_Controlled');ApplyStatus(SELF,WAR_ENRAGED,100,4)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=18499"
"WAR__Battle_Stance_","Battle Stance","Battle/BStance","basic offensive stance.","basic offensive stance.","Offensive","","Stance,Offensive","3","1","1","1","Class Talent","All","","","","","","Action","","","Spell_Shout","Shout","ApplyStatus(SELF,WAR_BATTLE_STANCE,100,-1)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=2457"
"WAR__Defensive_Stance_","Defensive Stance","Def/DStance","basic defensive stance.","basic defensive stance.","Defensive","","Stance,Defensive","","1","1","1","Baseline","All","","","","","","Action","","","Spell_Shout","Shout","ApplyStatus(SELF,WAR_DEFENSIVE_STANCE,100,-1)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=71"
"WAR__Seasoned_Soldier_","Seasoned Soldier","","increases Arms rage generation from critical strikes.","increases Arms rage generation from critical strikes.","Passive","","Passive,Stat-Boost,Critical","","","","","Spec Talent","Arms","","","","","","None","","","Passive","N/A","","","","","Not Started","","Simple stat boost passive"
"WAR__Mastery_Deep_Wounds_","Mastery: Deep Wounds","","enables scaling damage from Mastery.","enables scaling damage from Mastery.","Passive","","Arms,Passive,Bleed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","Passive boost","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=262111"
