"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes","bg3_other_resource_cost","wow_mechanic_type","bg3_mechanic_equivalent","resource_cost_rage","damage_formula","granted_by_subclass","localization_handle_name","localization_handle_description"
"WAR_Whirlwind","Whirlwind","WW","primary multitarget attack.","primary multitarget attack.","Offensive","AoE-Attack","AoE,Cleave,Rage-Generation","","1","1","12","Baseline","Protection","","","","","20","Action","ActionPoint:1;Rage:20","None","Spell_Zone","Zone","DealDamage(1d8+StrengthModifier,Slashing);RestoreResource(context.Source,Rage,10,0)","AreaTarget()","1d8+StrengthModifier,Slashing","None - Damage Only","Not Started","P3","Wowhead: https://www.wowhead.com/spell=1680","","","","","","","h78fe4967g0159g0000g0000g000000000001","h78fe4967g015ag0000g0000g000000000001"
"WAR_Charge","Charge","CHA","primary mobility and gap closer.","primary mobility and gap closer.","Utility","Gap-Closer","Mobility,Rage-Generation","","","","","Baseline","All","","","","","-20","Action","ActionPoint:1","Short Rest (2 charges)","Spell_Jump","Target","TeleportSource();RestoreResource(context.Source,Rage,20,0)","MeleeRange() and not Dead()","None","None - Movement","Not Started","P3","Wowhead: https://www.wowhead.com/spell=100","","","","","","","h78fe4967g0185g0000g0000g000000000001","h78fe4967g0186g0000g0000g000000000001"
"WAR_Shield_Slam","Shield Slam","SS","Your main offensive skill. Deals damage, generates Rage, its great.","Your main offensive skill. Deals damage, generates Rage, its great.","Offensive","Single-Target-Attack","Protection,Tank,Rage-Generation","","12","12","1","Baseline","Fury","","","","","30","Action","ActionPoint:1;Rage:30","None","Spell_Target","Target","DealDamage(2d6+StrengthModifier+ShieldAC,Bludgeoning);RestoreResource(context.Source,Rage,15,0)","MeleeRange() and not Dead()","2d6+StrengthModifier+ShieldAC,Bludgeoning","None - Damage Only","Not Started","P3","Wowhead: https://www.wowhead.com/spell=23922","ShieldBlock:1","","","","","","h78fe4967g01d9g0000g0000g000000000001","h78fe4967g01dag0000g0000g000000000001"
"WAR_Taunt","Taunt","TAU","Taunts enemies. Very basic.","Taunts enemies. Very basic.","Offensive","Threat-Gen","Protection,Tank,Taunt","","","1","","Baseline","All","","","","","0","Action","","OncePerTurn","Spell_Target","Target","ApplyStatus(context.Target,WAR_TAUNTED,100,1)","MeleeRange() and not Dead()","None","WAR_TAUNTED","Not Started","P3","Wowhead: https://www.wowhead.com/spell=355","","","","","","","h78fe4967g01dfg0000g0000g000000000001","h78fe4967g01e0g0000g0000g000000000001"
"WAR_Mastery_Critical_Block","Mastery: Critical Block","MCB","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases ...","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases your Attack Power. Its okay.","Passive","Mastery-Passive","Protection,Passive,Block","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","Passive mitigation boost","N/A - Passive","None","N/A - Passive Effect","Not Started","P3","Wowhead: https://www.wowhead.com/spell=76857","","","","","","","h78fe4967g0017g0000g0000g000000000001","h78fe4967g0018g0000g0000g000000000001"
"WAR_Berserker_Rage","Berserker Rage","BzR","preemptive or reactive CC removal.","preemptive or reactive CC removal.","Offensive","Rage-Management","Fury,Utility,Enrage,CC-Break","","7","1","7","Baseline","All","","","","","0","Action","","OncePerShortRest","Spell_Shout","Shout","RemoveStatus('SG_Incapacitated');RemoveStatus('SG_Controlled');ApplyStatus(SELF,WAR_ENRAGED,100,4)","Self","None","","Not Started","P2","Wowhead: https://www.wowhead.com/spell=18499","","","","","","","h78fe4967g0161g0000g0000g000000000001","h78fe4967g0162g0000g0000g000000000001"
"WAR_Battle_Stance","Battle Stance","Battle/BStance","basic offensive stance.","basic offensive stance.","Offensive","Defensive-CD","Stance,Offensive","1","1","1","1","Class Talent","All","","","","","","Action","","UntilLongRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_BATTLE_STANCE,100,-1)","Self","None","WAR_BATTLE_STANCE","Not Started","P2","Wowhead: https://www.wowhead.com/spell=2457","","","","","","","h78fe4967g015fg0000g0000g000000000001","h78fe4967g0160g0000g0000g000000000001"
"WAR_Defensive_Stance","Defensive Stance","Def/DStance","basic defensive stance.","basic defensive stance.","Defensive","Defensive-CD","Stance,Defensive","1","1","1","1","Baseline","All","","","","","","Action","","UntilLongRest","Spell_Shout","Shout","ApplyStatus(SELF,WAR_DEFENSIVE_STANCE,100,-1)","Self","None","WAR_DEFENSIVE_STANCE","Not Started","P3","Wowhead: https://www.wowhead.com/spell=71","","","","","","","h78fe4967g0167g0000g0000g000000000001","h78fe4967g0168g0000g0000g000000000001"
"WAR_Seasoned_Soldier","Seasoned Soldier","SS","increases Arms rage generation from critical strikes.","increases Arms rage generation from critical strikes.","Passive","Talent-Passive","Passive,Stat-Boost,Critical","Auto-Grant","1","Auto-Grant","Auto-Grant","Spec Talent","Arms","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","","N/A - Passive","N/A - Passive","N/A - Passive Effect","Not Started","P3","Simple stat boost passive","","","","","","","h78fe4967g0013g0000g0000g000000000001","h78fe4967g0014g0000g0000g000000000001"
"WAR_Mastery_Deep_Wounds","Mastery: Deep Wounds","MDW","enables scaling damage from Mastery.","enables scaling damage from Mastery.","Passive","Mastery-Passive","Arms,Passive,Bleed","Auto-Grant","Auto-Grant","Auto-Grant","Auto-Grant","Baseline","All","","","","","0","None","N/A - Passive","N/A - Passive","Passive","N/A","Passive boost","N/A - Passive","None","N/A - Passive Effect","Not Started","P3","Wowhead: https://www.wowhead.com/spell=262111","DeepWounds:3","","","","","","h78fe4967g0019g0000g0000g000000000001","h78fe4967g001ag0000g0000g000000000001"
