"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","unlock_level","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Whirlwind_","Whirlwind","WW","primary multitarget attack.","primary multitarget attack.","Offensive","","","1","Baseline","Arms","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Charge_","Charge","","primary mobility and gap closer.","primary mobility and gap closer.","Utility","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shield_Slam_","Shield Slam","SS","Your main offensive skill. Deals damage, generates Rage, its great.","Your main offensive skill. Deals damage, generates Rage, its great.","Offensive","","","1","Baseline","Protection","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Taunt_","Taunt","","Taunts enemies. Very basic.","Taunts enemies. Very basic.","Offensive","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Mastery_Critical_Block_","Mastery: Critical Block","","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases ...","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases your Attack Power. Its okay.","Passive","","","1","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Berserker_Rage_","Berserker Rage","BzR","preemptive or reactive CC removal.","preemptive or reactive CC removal.","Offensive","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Battle_Stance_","Battle Stance","Battle/BStance","basic offensive stance.","basic offensive stance.","Offensive","","","1","Class Talent","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Defensive_Stance_","Defensive Stance","Def/DStance","basic defensive stance.","basic defensive stance.","Defensive","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Seasoned_Soldier_","Seasoned Soldier","","increases Arms rage generation from critical strikes.","increases Arms rage generation from critical strikes.","Passive","","","1","Spec Talent","Arms","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Mastery_Deep_Wounds_","Mastery: Deep Wounds","","enables scaling damage from Mastery.","enables scaling damage from Mastery.","Passive","","","1","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Mortal_Strike_","Mortal Strike","MS","primary attack forming the basis of the rotation.","primary attack forming the basis of the rotation.","Offensive","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Titan_s_Grip_","Titan's Grip","TG","passive bonus which allows dual wielding two-handed weapons.","passive bonus which allows dual wielding two-handed weapons.","Passive","","","1","Spec Talent","Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Mastery_Unshackled_Fury_","Mastery: Unshackled Fury","","passive bonus which scales damage with Mastery.","passive bonus which scales damage with Mastery.","Passive","","","1","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Bloodthirst_","Bloodthirst","BT","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","","","1","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Ignore_Pain_","Ignore Pain","IP","Core defensive skill, must-have talent.","Core defensive skill, must-have talent.","Defensive","","","1","Spec Talent","Protection","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Fast_Footwork_","Fast Footwork","","minor passive speed boost.","minor passive speed boost.","Passive","","","2","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__War_Machine_","War Machine","","passive boost to rage generation with bonus on kill effects.","passive boost to rage generation with bonus on kill effects.","Passive","","","2","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Leeching_Strikes_","Leeching Strikes","","minor passive healing boost.","minor passive healing boost.","Passive","","","2","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Intervene_","Intervene","","charge an ally!","charge an ally!","Utility","","","2","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Overpower_","Overpower","OP","secondary attack which buffs Mortal Strike.","secondary attack which buffs Mortal Strike.","Offensive","","","2","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Raging_Blow_","Raging Blow","RB","Primary attack which forms the basis of the rotation.","Primary attack which forms the basis of the rotation.","Offensive","","","2","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Revenge_","Revenge","","Core offensive AoE Rage spender. Must-have talent.","Core offensive AoE Rage spender. Must-have talent.","Offensive","","","2","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Demoralizing_Shout_","Demoralizing Shout","Demo or DS","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.","Defensive","","","2","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Execute_","Execute","Exe","Arms' version of Execute","Arms' version of Execute","Offensive","","","3","Baseline","Arms","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Pummel_","Pummel","","low cooldown interrupt.","low cooldown interrupt.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Devastate_","Devastate","","A very basic damaging skill that has a lot of talent interactions.","A very basic damaging skill that has a lot of talent interactions.","Offensive","","","3","Baseline","Protection","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Shield_Block_","Shield Block","SB","Primary defensive skill. Very powerful damage mitigation while active.","Primary defensive skill. Very powerful damage mitigation while active.","Defensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Riposte_","Riposte","","A very simple Crit to Parry conversion.","A very simple Crit to Parry conversion.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Slam_","Slam","","initial rage spender, quickly replaced by other abilities.","initial rage spender, quickly replaced by other abilities.","Offensive","","","3","Baseline","Fury","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Impending_Victory_","Impending Victory","IV","on-demand version of Victory Rush.","on-demand version of Victory Rush.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Heroic_Leap_","Heroic Leap","Leap","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoi...","burst mobility skill, which does not immune ground effects like Blink, but can be useful for avoiding knockbacks.","Utility","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Storm_Bolt_","Storm Bolt","","useful ranged stun on a relatively low cooldown.","useful ranged stun on a relatively low cooldown.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Martial_Prowess_","Martial Prowess","","enables Overpower's buff.","enables Overpower's buff.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Die_by_the_Sword_","Die by the Sword","DbtS","Arms primary defensive cooldown.","Arms primary defensive cooldown.","Defensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Improved_Execute_","Improved Execute","","enables Arms Execute.","enables Arms Execute.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Frenzied_Enrage_","Frenzied Enrage","","greatly increases the speed of Fury gameplay.","greatly increases the speed of Fury gameplay.","Passive","","","3","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Powerful_Enrage_","Powerful Enrage","","large damage increase without increasing the speed of Fury gameplay.","large damage increase without increasing the speed of Fury gameplay.","Passive","","","3","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Enraged_Regeneration_","Enraged Regeneration","ER","Fury's primary defensive cooldown.","Fury's primary defensive cooldown.","Defensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Brace_For_Impact_","Brace For Impact","BFI","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to ...","Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to maintain 2-3 stacks, which provides incredible value for a single point. Absolutely mandatory talent.","Passive","","","3","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Armor_Specialization_","Armor Specialization","","Basic Armor increase, has synergy with other talents to increase Strength.","Basic Armor increase, has synergy with other talents to increase Strength.","Passive","","","3","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Fight_Through_the_Flames_","Fight Through the Flames","FTTF","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly usef...","Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly useful for most situations. Niche application in Mythic Plus, more useful in Raid.","Defensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Devastator_","Devastator","","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.","Offensive","","","3","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Intimidating_Shout_","Intimidating Shout","","easily broken AoE fear which can be used as a pseudo interrupt.","easily broken AoE fear which can be used as a pseudo interrupt.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Second_Wind_","Second Wind","","very rarely ignores environmental damage, but is usually broken by most effects.","very rarely ignores environmental damage, but is usually broken by most effects.","Offensive","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Frothing_Berserker_","Frothing Berserker","","inconsistent passive rage refund.","inconsistent passive rage refund.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
"WAR__Bounding_Stride_","Bounding Stride","","allows more leaping.","allows more leaping.","Utility","","","4","Baseline","All","","","","","","Action","","","Spell_Target","Target","","","","","Not Started","",""
"WAR__Pain_and_Gain_","Pain and Gain","","passive self-healing.","passive self-healing.","Passive","","","4","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","",""
