Header,Progression Level,BG3 abilities (All Classes),BG3 abilities (All Classes),Baseline_Arms,Baseline_Arms,Baseline_Protection,Baseline_Protection,Baseline_Protection,Baseline_Fury,Baseline_Fury,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Warrior_Class,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Arms_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Fury_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Protection_Subclass,Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Mountain Thane Talents (Protection & Fury),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Colossus Talents (Arms & Protection),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury),Slayers Talents (Arms & Fury)
Subheader,,Attacks,Feats,Auto Grant,Auto Grant,Auto Grant,Auto Grant,Auto Grant,Auto Grant,Auto Grant,AutoGrant,AutoGrant,Choose one for this per level,Choose one for this per level,Choose one for this per level,Choose one for this per level,Choose one for this per level,Choose one for this per level,Choose one for this per level,Choose one for this per level,Auto Grant,Auto Grant,Auto Grant,Auto Grant,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Auto Grant,Auto Grant,Auto Grant,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Auto Grant,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Pick one for this level,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted,Auto Granted
Ability type,,,,Offensive Abilities,Utility Abilities,Offensive Abilities,Utility Abilities,Passives,Offensive Abilities,Utility Abilities,Stance,Stance,Class Abilities,,,,,,,,Passive,Passive,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Arms Ability,Passive,Passive,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Fury Ability,Protection Ability,Protection Ability,Protection Ability,Protection Ability,Protection Ability,Protection Ability,Protection Ability,Protection Ability,Keystone,Mountain Thane Talents Path 1,Mountain Thane Talents Path 2,Mountain Thane Talents Path 3,Capstone,Keystone,Colossus Talents Path 1,Colossus Talents Path 2,Colossus Talents Path 3,Capstone,Keystone,Slayers Talents Path 1,Slayers Talents,Slayers Talents,Capstone
,Level 1,,,Whirlwind - WAR__Whirlwind_,Charge - WAR__Charge_,Shield Slam - WAR__Shield_Slam_,Taunt - WAR__Taunt_,�Mastery Critical Block,Whirlwind - WAR__Whirlwind_,Berserker Rage - WAR__Berserker_Rage_,Battle Stance - WAR__Battle_Stance_,Defensive Stance - WAR__Defensive_Stance_,,,,,,,,,Seasoned Soldier - WAR__Seasoned_Soldier_,�Mastery Deep Wounds,Mortal Strike - WAR__Mortal_Strike_,,,,,,,,,,,Titan's Grip - WAR__Titan_s_Grip_,�Mastery Unshackled Fury,Bloodthirst - WAR__Bloodthirst_,,,,,,,,,Ignore Pain - WAR__Ignore_Pain_,,,,,,,,,,,,,,,,,,,,,,
,Level 2,,,,,Devastate - WAR__Devastate_,,,,,,,Fast Footwork - WAR__Fast_Footwork_,War Machine - WAR__War_Machine_,Leeching Strikes - WAR__Leeching_Strikes_,Intervene - WAR__Intervene_,,,,,,,,Overpower - WAR__Overpower_,,,,,,,,,,,,Raging Blow - WAR__Raging_Blow_,,,,,,,,,,Revenge - WAR__Revenge_,Demoralizing Shout - WAR__Demoralizing_Shout_,,,,,,,,,,,,,,,,,,,,
,Level 3,,,Execute - WAR__Execute_,Pummel - WAR__Pummel_,Heroic Throw - WAR__Heroic_Throw_,Shield Block - WAR__Shield_Block_,Riposte - WAR__Riposte_,Slam - WAR__Slam_,Charge - WAR__Charge_,,,Impending Victory - WAR__Impending_Victory_,Heroic Leap - WAR__Heroic_Leap_,Storm Bolt - WAR__Storm_Bolt_,,,,,,,,,,Martial Prowess - WAR__Martial_Prowess_,Die by the Sword - WAR__Die_by_the_Sword_,Improved Execute - WAR__Improved_Execute_,,,,,,,,,,Frenzied Enrage - WAR__Frenzied_Enrage_,Powerful Enrage - WAR__Powerful_Enrage_,Enraged Regeneration - WAR__Enraged_Regeneration_,Improved Execute - WAR__Improved_Execute_,,,,,,Brace For Impact - WAR__Brace_For_Impact_,Armor Specialization - WAR__Armor_Specialization_,Fight Through the Flames - WAR__Fight_Through_the_Flames_,Devastator - WAR__Devastator_,,,,,,,,,,,,,,,,,,
,Level 4,,Add Feat,,,Victory Rush - WAR__Victory_Rush_,,,,,,,Intimidating Shout - WAR__Intimidating_Shout_,Second Wind - WAR__Second_Wind_,�Frothing Berserke,Bounding Stride - WAR__Bounding_Stride_,Pain and Gain - WAR__Pain_and_Gain_,Thunder Clap - WAR__Thunder_Clap_,,,,,,,Improved Overpower - WAR__Improved_Overpower_,Bloodsurge - WAR__Bloodsurge_,Fueled by Violence - WAR__Fueled_by_Violence_,Storm Wall - WAR__Storm_Wall_,Ignore Pain - WAR__Ignore_Pain_,Sudden Death - WAR_Sudden_Death,Fervor of Battle - WAR__Fervor_of_Battle_,,,,,,Improved Bloodthirst - WAR__Improved_Bloodthirst_,Fresh Meat - WAR__Fresh_Meat_,Warpaint - WAR__Warpaint_,Invigorating Fury - WAR__Invigorating_Fury_,Sudden Death - WAR_Sudden_Death,Cruelty - WAR__Cruelty_,,,,Disrupting Shout - WAR__Disrupting_Shout_,Best Served Cold - WAR__Best_Served_Cold_,Strategist - WAR__Strategist_,,,,,,,,,,,,,,,,,,,
,Level 5,Grant Extra Attack,,Hamstring - WAR__Hamstring_,Battle Shout - WAR__Battle_Shout_,,Charge - WAR__Charge_,Shield Block - WAR__Shield_Block_,Victory Rush - WAR__Victory_Rush_,Pummel - WAR__Pummel_,,,Cacophonous Roar - WAR__Cacophonous_Roar_,Menace - WAR__Menace_,Spell Reflection - WAR__Spell_Reflection_,Rallying Cry - WAR__Rallying_Cry_,Shockwave - WAR__Shockwave_,Barbaric Training - WAR__Barbaric_Training_,,,,,,,Tactician - WAR__Tactician_,Colossus Smash - WAR__Colossus_Smash_,Impale - WAR__Impale_,,,,,,,,,,Focus in Chaos - WAR__Focus_in_Chaos_,Rampage - WAR__Rampage_,Improved Raging Blow - WAR__Improved_Raging_Blow_,,,,,,,Last Stand - WAR__Last_Stand_,Instigate - WAR__Instigate_,Rend - WAR__Rend_,Bloodsurge - WAR__Bloodsurge_,Fueled by Violence - WAR__Fueled_by_Violence_,Brutal Vitality - WAR__Brutal_Vitality_,,,,,,,,,,,,,,,,
,Level 6,,,,,Slam - WAR__Slam_,,,,,,,Honed Reflexes - WAR__Honed_Reflexes_,Crushing Force - WAR__Crushing_Force_,Bitter Immunity - WAR__Bitter_Immunity_,Overwhelming Rage - WAR__Overwhelming_Rage_,Rumbling Earth - WAR__Rumbling_Earth_,Reinforced Plates - WAR__Reinforced_Plates_,,,,,,,Skullsplitter - WAR__Skullsplitter_,Rend - WAR__Rend_,Finishing Blows - WAR__Finishing_Blows_,Anger Management - WAR__Anger_Management_,Spiteful Serenity - WAR__Spiteful_Serenity_,Exhilarating Blows - WAR__Exhilarating_Blows_,Collateral Damage - WAR__Collateral_Damage_,Cleave - WAR__Cleave_,,,,,Single - WAR__Single,�Cold Steel - Hot Blood,Vicious Contempt - WAR__Vicious_Contempt_,Frenzy - WAR__Frenzy_,Hack and Slash - WAR__Hack_and_Slash_,Slaughtering Strikes - WAR__Slaughtering_Strikes_,Ashen Juggernaut - WAR__Ashen_Juggernaut_,Improved Whirlwind - WAR__Improved_Whirlwind_,,Unnerving Focus - WAR__Unnerving_Focus_,Bolster - WAR_Bolster,Thunderlord - WAR__Thunderlord_,Sudden Death - WAR_Sudden_Death,Heavy Repercussions - WAR_Heavy_Repercussions,Punish - WAR_Punish,Hunker Down - WAR_Hunker_Down,,,,,,,,,,,,,,,
,Level 7,,,Slam - WAR__Slam_,Berserker Rage - WAR__Berserker_Rage_,,Pummel - WAR__Pummel_,Vanguard - WAR__Vanguard_,Execute - WAR__Execute_,Battle Shout - WAR__Battle_Shout_,,,Wrecking Throw - WAR__Wrecking_Throw_,Shattering Throw - WAR__Shattering_Throw_,Sidearm - WAR__Sidearm_,Double Time - WAR__Double_Time_,Seismic Reverberation - WAR__Seismic_Reverberation_,Concussive Blows - WAR__Concussive_Blows_,Berserker Shout - WAR__Berserker_Shout_,Piercing Howl - WAR__Piercing_Howl_,,,,,Bloodborne - WAR__Bloodborne_,Dreadnaught - WAR__Dreadnaught_,Strength of Arms - WAR__Strength_of_Arms_,In For The Kill - WAR__In_For_The_Kill_,Test of Might - WAR__Test_of_Might_,Blunt Instruments - WAR__Blunt_Instruments_,Warbreaker - WAR__Warbreaker_,Massacre - WAR__Massacre_,Storm of Swords - WAR__Storm_of_Swords_,,,,Bloodborne - WAR__Bloodborne_,Bloodcraze - WAR__Bloodcraze_,Recklessness - WAR__Recklessness_,Massacre - WAR__Massacre_,Wrath and Fury - WAR__Wrath_and_Fury_,Meat Cleaver - WAR__Meat_Cleaver_,,,,Tough as Nails - WAR__Tough_as_Nails_,Shield Wall - WAR__Shield_Wall_,Enduring Defenses - WAR__Enduring_Defenses_,Unyielding Stance - WAR_Unyielding_Stance,Red Right Hand - WAR_Red_Right_Hand,,,,,,,,,,,,,,,,,
,Level 8,,Add Feat,,,Whirlwind - WAR__Whirlwind_,,,,,,,Cruel Strikes - WAR__Cruel_Strikes_,Wild Strikes - WAR__Wild_Strikes_,Dual Wield Specialization - WAR__Dual_Wield_Specialization_,Armored to the Teeth - WAR__Armored_to_the_Teeth_,,,,,,,,,Deft Experience - WAR__Deft_Experience_,Valor in Victory - WAR__Valor_in_Victory_,Critical Thinking - WAR__Critical_Thinking_,,,,,,,,,,Raging Armaments - WAR__Raging_Armaments_,Swift Strikes - WAR__Swift_Strikes_,Critical Thinking - WAR__Critical_Thinking_,,,,,,,Defender's Aegis - WAR_Defender_s_Aegis,Impenetrable Wall - WAR_Impenetrable_Wall,Focused Vigor - WAR__Focused_Vigor_,Shield Specialization - WAR__Shield_Specialization_,Enduring Alacrity - WAR__Enduring_Alacrity_,Anger Management - WAR__Anger_Management_,,,,,,,,,,,,,,,,
