"EntryName","FileType","HandleName","HandleDesc","DisplayName","Description"
"WAR_Lightning_Strikes","Passive","h78fe4967g0001","h78fe4967g0002","Lightning Strikes","Random single target damage proc from most rotational abilities. The increased chance is multiplicative (25 * 1.3 = 32.5% chance), rather than additive.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Mountain-Thane, Hero-Talent, Lightning-Proc
- Notes: Mountain Thane passive - Lightning strikes proc on abilities."
"WAR_Crashing_Thunder","Passive","h78fe4967g0003","h78fe4967g0004","Crashing Thunder","Allows Thunder Clap to effectively replace Whirlwind within the rotation.

- Role: Passive
- Subtype: Hero-Talent-Passive
- Tags: Mountain-Thane, Hero-Talent, Thunder-Clap-Enhancement
- Notes: Enhances Thunder Clap with additional effects."
"WAR_Avatar_of_the_Storm","Passive","h78fe4967g0005","h78fe4967g0006","Avatar of the Storm","Thunder Blast charges are only granted by natural casts of Avatar, not including procs from Berserker or Titan's Torment.

- Role: Passive
- Subtype: Hero-Talent-Passive
- Tags: Mountain-Thane, Hero-Talent, Avatar-Enhancement
- Notes: Mountain Thane keystone - Enhances Avatar with storm/lightning effects."
"WAR_Reap_the_Storm","Passive","h78fe4967g0007","h78fe4967g0008","Reap the Storm","Whirlwind generates 1 Rage per target hit

- Role: Passive
- Subtype: Hero-Talent
- Tags: Slayer, Hero-Talent, Rage-Generation
- Effects: IF(HasStringInSpellRoll('WAR__Whirlwind_')):RestoreResource(self,Rage,10,0)
- Notes: Slayer Hero Talent - Path 3. Your Whirlwind generates additional Rage."
"WAR_Slayer_s_Dominance","Passive","h78fe4967g0009","h78fe4967g000a","Slayers Dominance","Frequent random single target damage proc that inflicts the much more important Marked for Execution debuff.

- Role: Passive
- Subtype: Hero-Talent-Passive
- Tags: Slayer, Hero-Talent, Keystone
- Notes: Slayer keystone passive - Grants core Slayer mechanics."
"WAR_Dominance_of_the_Colossus","Passive","h78fe4967g000b","h78fe4967g000c","Dominance of the Colossus","Grants cooldown reduction and applies a debuff that increases all damage dealt, including that of the Demolish that applies it.

- Role: Passive
- Subtype: Hero-Talent-Passive
- Tags: Colossus, Hero-Talent, Keystone
- Notes: Colossus keystone passive - Grants core Colossus mechanics."
"WAR_Slayer_s_Dominance","Passive","h78fe4967g000d","h78fe4967g000e","Slayers Dominance","Frequent random single target damage proc that inflicts the much more important Marked for Execution debuff.

- Role: Passive
- Subtype: Hero-Talent-Passive
- Tags: Slayer, Hero-Talent, Keystone
- Notes: Slayer keystone passive - Grants core Slayer mechanics."
"WAR_Brutal_Finish","Passive","h78fe4967g000f","h78fe4967g0010","Brutal Finish","+2d12 to Execute

- Role: Passive
- Subtype: Hero-Talent
- Tags: Slayer, Hero-Talent, Execute, Damage-Boost
- Effects: IF(HasStringInSpellRoll('WAR__Execute_')):AddDamageBonus(2d12)
- Notes: Slayer Hero Talent - Path 1. Your Execute deals significantly more damage."
"WAR_Slayer_s_Malice","Passive","h78fe4967g0011","h78fe4967g0012","Slayer's Malice","Capstone: Crits restore 5 Rage (max 100/combat)

- Role: Passive
- Subtype: Hero-Talent
- Tags: Slayer, Hero-Talent, Capstone, Rage-Generation
- Effects: IF(IsCriticalHit()):RestoreResource(self,Rage,5,0)
- Notes: Slayer Hero Talent - Capstone. Your critical strikes restore Rage."
"WAR_Seasoned_Soldier","Passive","h78fe4967g0013","h78fe4967g0014","Seasoned Soldier","increases Arms rage generation from critical strikes.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Stat-Boost, Critical
- Notes: Simple stat boost passive"
"WAR_Titan_s_Grip","Passive","h78fe4967g0015","h78fe4967g0016","Titan's Grip","passive bonus which allows dual wielding two-handed weapons.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Fury, Passive, Dual-Wield
- Effects: Equipment proficiency unlock
- Notes:"
"WAR_Mastery_Critical_Block","Passive","h78fe4967g0017","h78fe4967g0018","Mastery: Critical Block","This is your Mastery. It reduces the damage taken from auto-attacks you block. It also increases your Attack Power. Its okay.

- Role: Passive
- Subtype: Mastery-Passive
- Tags: Protection, Passive, Block
- Effects: Passive mitigation boost
- Notes:"
"WAR_Mastery_Deep_Wounds","Passive","h78fe4967g0019","h78fe4967g001a","Mastery: Deep Wounds","enables scaling damage from Mastery.

- Role: Passive
- Subtype: Mastery-Passive
- Tags: Arms, Passive, Bleed
- Effects: Passive boost
- Notes:"
"WAR_Mastery_Unshackled_Fury","Passive","h78fe4967g001b","h78fe4967g001c","Mastery: Unshackled Fury","passive bonus which scales damage with Mastery.

- Role: Passive
- Subtype: Mastery-Passive
- Tags: Passive, Mastery, Stat-Scaling
- Notes: Mastery stat - BG3 equivalent could be bonus damage scaling. Needs custom implementation."
"WAR_Fast_Footwork","Passive","h78fe4967g001d","h78fe4967g001e","Fast Footwork","minor passive speed boost.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Mobility
- Notes: Movement speed boost"
"WAR_War_Machine","Passive","h78fe4967g001f","h78fe4967g0020","War Machine","passive boost to rage generation with bonus on kill effects.

- Role: Passive
- Subtype: Talent-Passive
- Tags: Passive, Proc, Movement
- Notes: Apply status on kill that grants movement speed boost"
"WAR_Leeching_Strikes","Passive","h78fe4967g0021","h78fe4967g0022","Leeching Strikes","minor passive healing boost.

- Role: Passive
- Subtype: Single-Target-Attack
- Tags: Passive, Healing, Lifesteal
- Notes: Lifesteal passive - may need custom functor"
"WAR_Riposte","Passive","h78fe4967g0023","h78fe4967g0024","Riposte","A very simple Crit to Parry conversion.

- Role: Offensive
- Subtype: General
- Tags: Protection, Passive, Mitigation
- Effects: Passive conversion"
